Counter,Channel1,Channel2
0,1706,1899
1,1738,1897
2,1818,1817
3,1854,1727
4,1823,1723
5,1817,1718
6,1805,1720
7,1817,1741
8,1773,1805
9,1705,1836
10,1680,1896
11,1703,1899
12,1789,1816
13,1847,1738
14,1837,1727
15,1832,1727
16,1823,1734
17,1820,1738
18,1771,1799
19,1719,1880
20,1705,1916
21,1727,1901
22,1792,1822
23,1837,1752
24,1823,1735
25,1819,1705
26,1815,1696
27,1801,1725
28,1741,1785
29,1691,1869
30,1662,1899
31,1707,1886
32,1770,1822
33,1832,1754
34,1832,1726
35,1836,1721
36,1833,1736
37,1822,1741
38,1789,1785
39,1723,1867
40,1692,1912
41,1705,1880
42,1774,1801
43,1822,1726
44,1832,1711
45,1822,1709
46,1815,1694
47,1802,1711
48,1770,1771
49,1704,1864
50,1679,1897
51,1691,1869
52,1770,1817
53,1823,1753
54,1820,1725
55,1836,1741
56,1819,1723
57,1800,1712
58,1766,1800
59,1705,1848
60,1690,1915
61,1740,1915
62,1831,1850
63,1867,1770
64,1837,1724
65,1816,1726
66,1800,1706
67,1801,1722
68,1759,1752
69,1706,1834
70,1693,1880
71,1707,1884
72,1771,1817
73,1834,1727
74,1838,1721
75,1832,1723
76,1834,1710
77,1820,1744
78,1784,1784
79,1711,1866
80,1706,1913
81,1724,1911
82,1787,1832
83,1837,1756
84,1835,1724
85,1834,1721
86,1817,1707
87,1800,1743
88,1752,1768
89,1686,1849
90,1672,1885
91,1695,1871
92,1774,1786
93,1833,1721
94,1839,1710
95,1835,1706
96,1822,1705
97,1818,1737
98,1783,1770
99,1696,1864
100,1704,1918
101,1726,1932
102,1817,1851
103,1882,1783
104,1880,1739
105,1853,1736
106,1837,1721
107,1817,1727
108,1772,1774
109,1704,1839
110,1678,1912
111,1710,1886
112,1784,1822
113,1834,1742
114,1833,1735
115,1834,1726
116,1822,1709
117,1808,1751
118,1756,1802
119,1709,1896
120,1693,1918
121,1719,1918
122,1790,1846
123,1839,1753
124,1837,1720
125,1837,1721
126,1835,1720
127,1822,1743
128,1785,1789
129,1706,1870
130,1680,1927
131,1706,1910
132,1788,1832
133,1848,1727
134,1853,1711
135,1852,1722
136,1840,1725
137,1833,1743
138,1788,1806
139,1721,1900
140,1708,1943
141,1737,1932
142,1815,1821
143,1848,1735
144,1837,1722
145,1837,1707
146,1836,1706
147,1832,1725
148,1771,1787
149,1719,1870
150,1694,1934
151,1720,1901
152,1804,1805
153,1852,1755
154,1868,1752
155,1865,1727
156,1853,1737
157,1824,1742
158,1775,1790
159,1704,1866
160,1673,1882
161,1708,1870
162,1786,1802
163,1835,1735
164,1837,1703
165,1849,1694
166,1840,1693
167,1822,1719
168,1800,1773
169,1708,1864
170,1692,1930
171,1720,1887
172,1799,1806
173,1854,1708
174,1855,1706
175,1865,1705
176,1851,1707
177,1836,1739
178,1772,1775
179,1709,1880
180,1693,1918
181,1735,1912
182,1804,1783
183,1851,1675
184,1849,1646
185,1835,1672
186,1821,1610
187,1818,1627
188,1784,1675
189,1695,1742
190,1687,1787
191,1725,1742
192,1822,1654
193,1898,1559
194,1884,1549
195,1880,1546
196,1869,1549
197,1838,1546
198,1787,1593
199,1708,1705
200,1702,1741
201,1726,1737
202,1817,1640
203,1868,1558
204,1864,1544
205,1866,1529
206,1850,1546
207,1850,1568
208,1788,1629
209,1719,1720
210,1704,1757
211,1727,1769
212,1803,1661
213,1868,1578
214,1854,1566
215,1868,1547
216,1851,1560
217,1849,1576
218,1803,1627
219,1705,1738
220,1688,1783
221,1722,1784
222,1818,1703
223,1870,1608
224,1870,1599
225,1864,1598
226,1865,1615
227,1854,1623
228,1806,1659
229,1722,1774
230,1722,1832
231,1738,1836
232,1817,1723
233,1865,1628
234,1854,1615
235,1851,1623
236,1850,1628
237,1835,1641
238,1784,1720
239,1707,1803
240,1705,1833
241,1728,1832
242,1818,1738
243,1869,1643
244,1868,1615
245,1867,1614
246,1863,1614
247,1852,1631
248,1806,1690
249,1720,1800
250,1704,1850
251,1736,1833
252,1822,1742
253,1886,1675
254,1886,1642
255,1870,1612
256,1866,1627
257,1850,1614
258,1804,1689
259,1724,1799
260,1719,1832
261,1752,1819
262,1821,1737
263,1885,1646
264,1870,1628
265,1867,1629
266,1853,1631
267,1848,1656
268,1770,1711
269,1710,1806
270,1707,1853
271,1743,1838
272,1823,1756
273,1881,1675
274,1866,1629
275,1853,1631
276,1852,1630
277,1839,1660
278,1807,1710
279,1719,1836
280,1694,1870
281,1741,1855
282,1823,1759
283,1879,1693
284,1880,1645
285,1853,1677
286,1837,1657
287,1823,1674
288,1774,1707
289,1694,1816
290,1691,1879
291,1722,1866
292,1804,1758
293,1867,1678
294,1870,1662
295,1853,1662
296,1848,1680
297,1839,1679
298,1768,1738
299,1691,1832
300,1663,1882
301,1707,1880
302,1806,1787
303,1871,1689
304,1851,1671
305,1851,1660
306,1850,1657
307,1866,1675
308,1815,1742
309,1722,1868
310,1693,1925
311,1722,1926
312,1802,1836
313,1851,1753
314,1851,1742
315,1840,1742
316,1834,1741
317,1833,1773
318,1791,1819
319,1708,1920
320,1689,1978
321,1720,1980
322,1806,1883
323,1868,1771
324,1871,1772
325,1868,1755
326,1856,1770
327,1849,1773
328,1771,1848
329,1706,1931
330,1693,1995
331,1723,1976
332,1817,1870
333,1869,1770
334,1864,1769
335,1851,1755
336,1847,1758
337,1838,1786
338,1787,1834
339,1693,1929
340,1691,1961
341,1726,1967
342,1821,1871
343,1886,1773
344,1870,1742
345,1853,1739
346,1847,1720
347,1835,1740
348,1790,1789
349,1707,1899
350,1688,1950
351,1737,1931
352,1806,1839
353,1868,1755
354,1867,1756
355,1852,1721
356,1837,1736
357,1819,1768
358,1760,1819
359,1694,1902
360,1687,1961
361,1724,1959
362,1805,1853
363,1867,1755
364,1864,1741
365,1849,1735
366,1838,1727
367,1836,1754
368,1790,1805
369,1696,1916
370,1675,1980
371,1721,1944
372,1806,1850
373,1864,1758
374,1867,1740
375,1851,1742
376,1847,1741
377,1822,1755
378,1785,1804
379,1705,1903
380,1689,1948
381,1721,1932
382,1789,1832
383,1853,1738
384,1851,1722
385,1838,1720
386,1832,1726
387,1820,1738
388,1768,1790
389,1695,1896
390,1677,1936
391,1720,1933
392,1801,1849
393,1865,1759
394,1855,1751
395,1847,1728
396,1835,1725
397,1820,1756
398,1784,1802
399,1703,1882
400,1679,1929
401,1711,1918
402,1788,1837
403,1852,1753
404,1855,1724
405,1865,1721
406,1850,1706
407,1832,1737
408,1799,1783
409,1725,1882
410,1709,1918
411,1738,1900
412,1818,1819
413,1868,1753
414,1867,1739
415,1867,1740
416,1863,1736
417,1848,1727
418,1773,1783
419,1706,1833
420,1694,1850
421,1723,1848
422,1816,1742
423,1880,1656
424,1882,1625
425,1870,1626
426,1854,1612
427,1847,1609
428,1800,1673
429,1727,1751
430,1710,1788
431,1740,1768
432,1816,1690
433,1854,1599
434,1868,1592
435,1855,1592
436,1840,1579
437,1837,1596
438,1791,1676
439,1722,1771
440,1707,1821
441,1742,1787
442,1818,1720
443,1871,1646
444,1868,1646
445,1864,1641
446,1836,1647
447,1820,1645
448,1760,1704
449,1706,1783
450,1693,1835
451,1719,1816
452,1802,1721
453,1850,1642
454,1847,1627
455,1836,1630
456,1823,1628
457,1819,1645
458,1773,1708
459,1709,1786
460,1696,1819
461,1726,1817
462,1804,1736
463,1853,1660
464,1848,1644
465,1838,1644
466,1833,1642
467,1818,1672
468,1786,1708
469,1719,1789
470,1703,1837
471,1739,1832
472,1818,1725
473,1853,1659
474,1838,1643
475,1832,1656
476,1820,1659
477,1816,1679
478,1759,1739
479,1710,1818
480,1696,1855
481,1727,1850
482,1815,1767
483,1853,1672
484,1849,1671
485,1835,1671
486,1834,1656
487,1821,1676
488,1784,1722
489,1709,1806
490,1707,1837
491,1738,1833
492,1805,1758
493,1852,1687
494,1854,1661
495,1853,1659
496,1834,1675
497,1818,1677
498,1784,1720
499,1710,1807
500,1694,1852
501,1736,1832
502,1802,1740
503,1853,1689
504,1834,1660
505,1819,1674
506,1804,1660
507,1801,1689
508,1753,1755
509,1704,1832
510,1694,1853
511,1722,1836
512,1784,1753
513,1822,1675
514,1822,1687
515,1818,1688
516,1807,1693
517,1801,1706
518,1770,1770
519,1704,1849
520,1690,1880
521,1720,1852
522,1785,1755
523,1823,1689
524,1833,1680
525,1837,1672
526,1817,1686
527,1804,1692
528,1772,1752
529,1705,1820
530,1693,1867
531,1721,1835
532,1787,1767
533,1837,1703
534,1836,1677
535,1823,1660
536,1817,1664
537,1802,1677
538,1758,1738
539,1708,1814
540,1710,1850
541,1738,1823
542,1800,1743
543,1848,1689
544,1836,1693
545,1836,1689
546,1835,1678
547,1832,1678
548,1784,1726
549,1721,1816
550,1720,1853
551,1754,1833
552,1802,1757
553,1839,1691
554,1836,1688
555,1832,1690
556,1760,1769
557,1720,1833
558,1708,1846
559,1725,1838
560,1789,1771
561,1832,1689
562,1820,1680
563,1824,1691
564,1819,1725
565,1804,1736
566,1756,1783
567,1735,1823
568,1726,1838
569,1752,1824
570,1786,1783
571,1818,1751
572,1806,1725
573,1805,1721
574,1788,1721
575,1786,1742
576,1771,1769
577,1742,1792
578,1738,1816
579,1742,1822
580,1771,1804
581,1804,1759
582,1804,1752
583,1801,1737
584,1816,1738
585,1800,1744
586,1773,1784
587,1754,1804
588,1738,1821
589,1751,1817
590,1773,1775
591,1800,1737
592,1807,1728
593,1820,1736
594,1818,1723
595,1804,1741
596,1774,1770
597,1757,1799
598,1755,1806
599,1758,1822
600,1789,1770
601,1819,1735
602,1834,1719
603,1836,1725
604,1847,1736
605,1819,1740
606,1800,1774
607,1754,1801
608,1741,1822
609,1753,1837
610,1789,1773
611,1820,1724
612,1836,1710
613,1835,1707
614,1823,1706
615,1808,1738
616,1786,1772
617,1753,1835
618,1741,1837
619,1756,1849
620,1816,1800
621,1837,1710
622,1831,1721
623,1823,1707
624,1831,1711
625,1830,1737
626,1785,1801
627,1750,1849
628,1739,1849
629,1755,1832
630,1815,1768
631,1853,1727
632,1851,1719
633,1848,1708
634,1837,1711
635,1832,1739
636,1801,1784
637,1751,1838
638,1740,1848
639,1774,1818
640,1833,1743
641,1863,1721
642,1867,1740
643,1852,1737
644,1848,1752
645,1824,1788
646,1804,1851
647,1772,1928
648,1784,1964
649,1807,1961
650,1847,1901
651,1869,1856
652,1867,1869
653,1870,1885
654,1868,1870
655,1864,1898
656,1822,1967
657,1790,2026
658,1792,2040
659,1820,2010
660,1879,1948
661,1912,1914
662,1929,1902
663,1916,1885
664,1917,1884
665,1918,1887
666,1880,1933
667,1838,1995
668,1851,1993
669,1919,1979
670,1932,1932
671,2061,1855
672,2009,1864
673,1983,1835
674,1962,1835
675,2030,1864
676,1992,1902
677,1997,1948
678,2041,1959
679,2059,1934
680,2185,1866
681,2330,1820
682,2314,1832
683,2424,1838
684,2446,1831
685,2457,1850
686,2524,1903
687,2507,1946
688,2538,1934
689,2607,1944
690,2699,1868
691,2812,1817
692,2937,1808
693,2876,1824
694,2905,1821
695,3052,1837
696,2985,1914
697,2904,2007
698,2920,2025
699,2985,2041
700,3118,1933
701,3069,1928
702,3099,1919
703,3167,1902
704,3182,1920
705,3086,1964
706,3021,1998
707,3020,2064
708,3038,2089
709,3054,2064
710,3071,2008
711,3071,1948
712,3072,1946
713,3102,1952
714,3151,1948
715,3118,1993
716,3065,2011
717,2999,2048
718,3034,2078
719,3050,2061
720,3018,1982
721,3112,1933
722,3117,1918
723,3131,1916
724,3019,1918
725,3002,1935
726,3015,1961
727,2958,2013
728,2874,2029
729,2921,2029
730,2987,1943
731,3021,1883
732,2952,1880
733,2943,1898
734,2956,1899
735,2973,1911
736,2859,1946
737,2826,2012
738,2877,2008
739,2831,2008
740,2864,1930
741,2891,1867
742,2861,1878
743,2892,1879
744,2814,1869
745,2777,1870
746,2810,1911
747,2743,1964
748,2701,1983
749,2749,1965
750,2810,1903
751,2793,1836
752,2781,1847
753,2765,1838
754,2698,1836
755,2715,1849
756,2718,1886
757,2654,1950
758,2601,1964
759,2623,1944
760,2680,1884
761,2703,1864
762,2685,1849
763,2683,1836
764,2652,1819
765,2604,1820
766,2588,1868
767,2553,1944
768,2523,1951
769,2506,1947
770,2589,1880
771,2601,1835
772,2622,1821
