Counter,Channel1,Channel2
0,1869,1708
1,1822,1661
2,1820,1642
3,1790,1614
4,1784,1576
5,1690,1886
6,1624,2126
7,1592,2188
8,1673,2057
9,1806,1804
10,1870,1724
11,1835,1647
12,1800,1581
13,1807,1593
14,1802,1623
15,1695,1849
16,1623,2123
17,1566,2202
18,1676,2078
19,1774,1802
20,1814,1655
21,1834,1695
22,1838,1646
23,1864,1615
24,1853,1640
25,1727,1911
26,1625,2153
27,1579,2185
28,1661,2043
29,1800,1817
30,1867,1758
31,1853,1690
32,1835,1645
33,1850,1627
34,1850,1628
35,1725,1868
36,1631,2121
37,1598,2231
38,1673,2074
39,1820,1850
40,1833,1704
41,1833,1661
42,1855,1662
43,1870,1646
44,1849,1610
45,1755,1883
46,1679,2158
47,1628,2299
48,1659,2135
49,1768,1823
50,1790,1760
51,1816,1770
52,1819,1752
53,1804,1753
54,1787,1782
55,1689,2056
56,1578,2317
57,1517,2380
58,1609,2253
59,1738,2010
60,1741,1912
61,1753,1853
62,1744,1836
63,1770,1821
64,1770,1837
65,1656,2077
66,1528,2334
67,1501,2382
68,1592,2286
69,1739,2009
70,1755,1917
71,1751,1869
72,1754,1837
73,1753,1820
74,1725,1820
75,1646,2028
76,1562,2224
77,1534,2331
78,1626,2267
79,1756,2009
80,1790,1853
81,1769,1775
82,1754,1786
83,1772,1783
84,1615,2200
85,1593,2264
86,1576,2364
87,1630,2248
88,1760,1993
89,1772,1879
90,1772,1772
91,1799,1759
92,1791,1686
93,1784,1753
94,1686,1965
95,1597,2203
96,1597,2327
97,1661,2204
98,1756,1950
99,1785,1801
100,1788,1753
101,1816,1738
102,1832,1760
103,1818,1758
104,1724,1979
105,1608,2205
106,1550,2298
107,1626,2184
108,1742,1868
109,1791,1757
110,1804,1768
111,1818,1751
112,1821,1711
113,1774,1679
114,1694,1930
115,1598,2136
116,1577,2235
117,1643,2142
118,1775,1897
119,1802,1773
120,1801,1759
121,1805,1756
122,1806,1706
123,1818,1709
124,1677,1932
125,1564,2152
126,1594,2250
127,1675,2124
128,1788,1884
129,1821,1770
130,1786,1671
131,1852,1692
132,1870,1704
133,1822,1662
134,1742,1899
135,1641,2093
136,1623,2175
137,1676,2108
138,1790,1848
139,1833,1740
140,1855,1721
141,1800,1674
142,1803,1611
143,1801,1656
144,1711,1887
145,1609,2058
146,1590,2169
147,1673,2057
148,1805,1804
149,1816,1659
150,1806,1641
151,1804,1642
152,1823,1657
153,1835,1646
154,1691,1820
155,1596,2046
156,1597,2174
157,1676,2061
158,1790,1837
159,1819,1689
160,1834,1646
161,1853,1644
162,1847,1640
163,1820,1599
164,1720,1838
165,1628,2064
166,1594,2142
167,1678,2011
168,1807,1838
169,1852,1726
170,1822,1672
171,1791,1657
172,1818,1612
173,1838,1626
174,1737,1888
175,1647,2095
176,1648,2199
177,1692,2025
178,1787,1773
179,1851,1658
180,1849,1659
181,1850,1631
182,1835,1613
183,1838,1663
184,1706,1840
185,1611,2014
186,1596,2106
187,1675,2015
188,1760,1707
189,1816,1607
190,1819,1580
191,1840,1528
192,1896,1512
193,1869,1480
194,1753,1675
195,1642,1901
196,1656,1949
197,1744,1822
198,1837,1578
199,1836,1465
200,1871,1439
201,1870,1451
202,1870,1405
203,1864,1390
204,1741,1656
205,1674,1869
206,1656,1962
207,1679,1870
208,1816,1624
209,1914,1534
210,1884,1452
211,1885,1434
212,1880,1464
213,1868,1481
214,1737,1688
215,1642,1915
216,1592,2006
217,1680,1912
218,1832,1630
219,1882,1561
220,1848,1500
221,1831,1481
222,1866,1500
223,1872,1545
224,1759,1782
225,1643,1963
226,1623,2046
227,1675,1932
228,1837,1705
229,1887,1645
230,1897,1611
231,1839,1560
232,1838,1564
233,1833,1579
234,1710,1819
235,1611,1993
236,1624,2057
237,1693,1976
238,1831,1719
239,1867,1614
240,1851,1614
241,1850,1624
242,1817,1579
243,1806,1565
244,1694,1790
245,1600,2041
246,1607,2144
247,1686,2029
248,1774,1751
249,1820,1656
250,1821,1646
251,1839,1614
252,1831,1592
253,1816,1641
254,1704,1850
255,1626,2073
256,1592,2171
257,1628,2078
258,1720,1804
259,1759,1690
260,1773,1693
261,1753,1694
262,1753,1674
263,1743,1661
264,1640,1865
265,1565,2107
266,1565,2250
267,1672,2168
268,1819,1835
269,1822,1687
270,1785,1768
271,1774,1757
272,1800,1628
273,1741,1677
274,1591,1944
275,1531,2154
276,1565,2216
277,1642,2064
278,1739,1661
279,1770,1720
280,1772,1707
281,1725,1692
282,1752,1727
283,1726,1852
284,1673,1885
285,1562,2156
286,1514,2300
287,1628,2218
288,1656,1948
289,1678,1743
290,1770,1866
291,1766,1704
292,1677,1660
293,1613,1660
294,1593,1774
295,1534,2125
296,1436,2207
297,1608,2280
298,1645,1952
299,1704,1835
300,1755,1915
301,1785,1775
302,1727,1676
303,1708,1768
304,1563,1930
305,1467,2167
306,1477,2328
307,1579,2126
308,1673,1864
309,1772,1837
310,1753,1974
311,1773,1735
312,1806,1689
313,1759,1867
314,1599,1914
315,1486,2232
316,1593,2239
317,1579,2154
318,1694,1977
319,1756,1931
320,1773,1837
321,1719,1759
322,1696,1760
323,1642,1760
324,1566,1947
325,1432,2271
326,1454,2299
327,1518,2232
328,1720,2030
329,1742,1901
330,1688,1851
331,1740,1790
332,1673,1835
333,1676,1816
334,1562,1976
335,1515,2190
336,1548,2346
337,1640,2095
338,1656,1865
339,1720,1914
340,1799,1768
341,1834,1770
342,1833,1707
343,1770,1771
344,1612,1871
345,1576,2110
346,1672,2200
347,1720,2152
348,1818,1853
349,1822,1693
350,1976,1760
351,1866,1678
352,1854,1679
353,1886,1660
354,1934,1913
355,1902,2187
356,1850,2232
357,1839,2175
358,2122,1947
359,2080,1787
360,2107,1726
361,2175,1768
362,2235,1673
363,2170,1643
364,2216,1949
365,2135,2184
366,2089,2254
367,2087,2218
368,2280,1950
369,2392,1799
370,2362,1801
371,2455,1817
372,2503,1757
373,2510,1768
374,2335,1998
375,2269,2155
376,2219,2203
377,2266,2144
378,2377,1945
379,2424,1835
380,2505,1805
381,2523,1806
382,2454,1740
383,2444,1708
384,2446,2138
385,2266,2064
386,2219,2249
387,2191,2190
388,2411,1789
389,2427,1759
390,2331,1770
391,2382,1627
392,2381,1707
393,2397,1659
394,2343,2023
395,2302,2256
396,2208,2221
397,2220,2135
398,2271,1883
399,2350,1737
400,2376,1771
401,2456,1803
402,2397,1647
403,2442,1831
404,2239,1960
405,2123,2047
406,2108,2219
407,2187,2091
408,2271,1822
409,2329,1816
410,2493,1722
411,2473,1576
412,2473,1743
413,2296,1707
414,2252,1902
415,2158,2153
416,2175,2255
417,2256,2091
418,2392,1896
419,2376,1744
420,2332,1883
421,2383,1645
422,2396,1656
423,2474,1822
424,2359,1974
425,2204,2013
426,2218,2287
427,2284,2269
428,2413,1849
429,2333,1707
430,2335,1839
431,2479,1946
432,2446,1718
433,2407,1789
434,2318,1928
435,2186,2124
436,2125,2015
437,2216,2251
438,2334,1791
439,2392,1774
440,2407,1757
441,2397,1769
442,2382,1707
443,2330,1695
444,2223,1885
445,2166,2202
446,2184,2200
447,2256,2231
448,2255,1786
449,2444,1549
450,2426,1545
451,2347,1784
452,2256,1545
453,2336,1616
454,2344,1948
455,2073,2062
456,2189,2042
457,2089,2063
458,2139,1723
459,2301,1854
460,2281,1660
461,2283,1807
462,2394,1930
463,2231,1752
464,2030,1913
465,1944,2220
466,2031,2152
467,1998,2187
468,2078,1887
469,2108,1803
470,2123,1708
471,2090,1690
472,2120,1663
473,2062,1711
474,1932,1965
