Counter,Channel1,Channel2
0,1834,1805
1,1818,1835
2,1815,1868
3,1822,1864
4,1824,1849
5,1838,1818
6,1849,1768
7,1839,1768
8,1835,1771
9,1833,1774
10,1835,1790
11,1816,1808
12,1791,1864
13,1816,1864
14,1822,1832
15,1848,1806
16,1853,1770
17,1855,1784
18,1848,1789
19,1832,1806
20,1834,1831
21,1818,1834
22,1789,1884
23,1789,1855
24,1799,1832
25,1834,1804
26,1832,1783
27,1820,1770
28,1807,1769
29,1801,1774
30,1790,1785
31,1782,1823
32,1775,1855
33,1787,1866
34,1815,1831
35,1836,1789
36,1832,1782
37,1832,1774
38,1821,1769
39,1806,1801
40,1818,1821
41,1791,1822
42,1784,1850
43,1773,1831
44,1806,1837
45,1824,1790
46,1837,1785
47,1837,1769
48,1834,1805
49,1819,1772
50,1816,1800
51,1792,1806
52,1775,1839
53,1791,1850
54,1804,1820
55,1821,1815
56,1832,1771
57,1837,1784
58,1838,1790
59,1833,1805
60,1807,1789
61,1803,1816
62,1787,1817
63,1787,1823
64,1819,1836
65,1819,1787
66,1835,1774
67,1834,1786
68,1834,1785
69,1816,1783
70,1821,1806
71,1790,1807
72,1799,1848
73,1756,1818
74,1787,1807
75,1818,1770
76,1800,1751
77,1785,1752
78,1757,1767
79,1739,1768
80,1722,1772
81,1691,1803
82,1688,1803
83,1706,1835
84,1757,1818
85,1738,1770
86,1723,1753
87,1707,1755
88,1691,1754
89,1676,1768
90,1659,1756
91,1662,1807
92,1645,1833
93,1647,1833
94,1677,1818
95,1673,1789
96,1678,1743
97,1678,1726
98,1661,1742
99,1612,1767
100,1582,1757
101,1564,1767
102,1561,1787
103,1545,1770
104,1544,1725
105,1564,1735
106,1580,1710
107,1550,1710
108,1550,1752
109,1579,1727
110,1624,1722
111,1577,1786
112,1580,1759
113,1549,1789
114,1561,1772
115,1580,1724
116,1581,1678
117,1568,1675
118,1576,1686
119,1581,1725
120,1564,1721
121,1579,1720
122,1562,1773
123,1560,1788
124,1580,1768
125,1609,1752
126,1611,1711
127,1597,1705
128,1582,1737
129,1566,1705
130,1584,1720
131,1577,1737
132,1561,1742
133,1560,1773
134,1566,1756
135,1596,1739
136,1611,1724
137,1626,1737
138,1614,1735
139,1595,1754
140,1582,1742
141,1593,1755
142,1593,1804
143,1560,1791
144,1582,1757
145,1599,1726
146,1643,1720
147,1641,1710
148,1639,1720
149,1598,1708
150,1599,1755
151,1578,1767
152,1567,1775
153,1607,1756
154,1609,1723
155,1624,1725
156,1656,1676
157,1661,1724
158,1640,1720
159,1613,1734
160,1610,1742
161,1594,1774
162,1592,1770
163,1623,1751
164,1647,1739
165,1656,1687
166,1644,1689
167,1657,1720
168,1675,1755
169,1657,1768
170,1613,1741
171,1624,1776
172,1640,1806
173,1640,1771
174,1672,1722
175,1672,1702
176,1674,1721
177,1674,1708
178,1672,1759
179,1679,1758
180,1675,1803
181,1646,1823
182,1639,1802
183,1657,1769
184,1664,1756
185,1679,1726
186,1705,1725
187,1706,1722
188,1677,1734
189,1654,1757
190,1657,1800
191,1631,1807
192,1639,1817
193,1676,1788
194,1705,1753
195,1710,1735
196,1723,1736
197,1704,1758
198,1706,1768
199,1709,1771
200,1677,1816
201,1671,1838
202,1675,1834
203,1679,1806
204,1711,1790
205,1737,1756
206,1740,1768
207,1712,1769
208,1695,1742
209,1711,1703
210,1676,1722
211,1663,1720
212,1675,1720
213,1680,1661
214,1704,1643
215,1721,1631
216,1751,1624
217,1727,1597
218,1710,1594
219,1709,1591
220,1679,1609
221,1673,1641
222,1690,1660
223,1705,1613
224,1708,1594
225,1710,1576
226,1711,1558
227,1709,1565
