Counter,Channel1,Channel2
0,1687,1671
1,1742,1561
2,1744,1532
3,1738,1520
4,1725,1559
5,1705,1580
6,1676,1608
7,1599,1720
8,1576,1788
9,1579,1784
10,1645,1678
11,1705,1591
12,1721,1544
13,1704,1559
14,1693,1594
15,1678,1598
16,1640,1626
17,1561,1722
18,1531,1804
19,1559,1806
20,1629,1705
21,1704,1598
22,1710,1563
23,1695,1560
24,1674,1592
25,1660,1608
26,1643,1627
27,1561,1743
28,1533,1816
29,1562,1801
30,1646,1721
31,1723,1612
32,1710,1592
33,1719,1577
34,1707,1593
35,1703,1610
36,1676,1628
37,1595,1741
38,1579,1814
39,1598,1816
40,1663,1722
41,1739,1594
42,1755,1564
43,1754,1579
44,1741,1594
45,1740,1627
46,1708,1657
47,1629,1754
48,1627,1835
49,1644,1807
50,1720,1726
51,1802,1623
52,1803,1576
53,1802,1568
54,1807,1597
55,1800,1613
56,1786,1646
57,1741,1743
58,1739,1818
59,1772,1801
60,1866,1726
61,1981,1623
62,2029,1596
63,2059,1582
64,2077,1596
65,2106,1645
66,2110,1662
67,2064,1756
68,2045,1819
69,2109,1816
70,2199,1726
71,2264,1613
72,2286,1575
73,2283,1578
74,2285,1581
75,2270,1610
76,2235,1641
77,2151,1752
78,2110,1832
79,2122,1816
80,2175,1742
81,2231,1640
82,2221,1582
83,2222,1595
84,2217,1615
85,2190,1644
86,2156,1675
87,2073,1773
88,2028,1839
89,2045,1822
90,2119,1754
91,2186,1643
92,2188,1615
93,2186,1611
94,2169,1640
95,2141,1657
96,2120,1675
97,2046,1785
98,2014,1850
99,2039,1852
