Counter,Channel1,Channel2
0,1484,1595
1,1483,1615
2,1502,1596
3,1448,1536
4,1483,1560
5,1549,1546
6,1560,1582
7,1562,1639
8,1518,1639
9,1528,1616
10,1597,1592
11,1466,1593
12,1547,1577
13,1503,1578
14,1560,1583
15,1531,1632
16,1534,1579
17,1551,1581
18,1594,1596
19,1594,1614
20,1581,1642
21,1562,1639
22,1567,1642
23,1531,1591
24,1498,1561
25,1580,1575
26,1565,1577
27,1527,1576
28,1534,1624
29,1544,1591
30,1592,1627
31,1592,1627
32,1612,1594
33,1581,1646
34,1595,1609
35,1529,1640
36,1534,1627
37,1528,1581
38,1545,1624
39,1559,1562
40,1579,1544
41,1559,1597
42,1516,1547
43,1610,1512
44,1609,1579
45,1533,1532
46,1565,1502
47,1594,1531
48,1531,1531
49,1566,1527
50,1544,1567
51,1532,1529
52,1513,1496
53,1515,1451
54,1547,1456
55,1546,1481
56,1627,1499
57,1615,1532
58,1561,1566
59,1599,1546
60,1641,1591
61,1575,1592
62,1503,1533
63,1551,1564
64,1562,1528
65,1599,1496
66,1598,1575
67,1494,1547
68,1516,1530
69,1528,1549
70,1590,1579
71,1610,1561
72,1583,1559
73,1484,1517
74,1485,1499
75,1485,1531
76,1485,1531
77,1592,1581
78,1600,1560
79,1576,1480
80,1561,1529
81,1518,1545
82,1485,1510
83,1512,1548
84,1533,1527
85,1609,1580
86,1562,1608
87,1512,1527
88,1516,1625
89,1519,1598
90,1498,1483
91,1497,1496
92,1512,1613
93,1563,1515
94,1536,1562
95,1501,1581
96,1495,1520
97,1433,1452
98,1548,1528
99,1544,1574
100,1486,1599
101,1469,1656
102,1532,1481
103,1465,1533
104,1532,1422
105,1562,1564
106,1499,1528
107,1519,1549
108,1449,1503
109,1499,1578
110,1503,1529
111,1448,1609
112,1470,1577
113,1448,1566
114,1511,1566
115,1515,1576
116,1536,1611
117,1502,1545
118,1485,1591
119,1420,1549
120,1530,1552
121,1580,1659
122,1387,1369
123,1385,1532
124,1404,1625
125,1424,1583
126,1449,1531
127,1400,1597
128,1420,1527
129,1400,1528
130,1384,1565
131,1303,1641
132,1358,1702
133,1450,1630
134,1341,1466
135,1391,1627
136,1338,1322
137,1465,1862
138,1246,1323
139,1369,1758
140,1270,1606
141,1245,1647
142,1160,1504
143,1212,1481
144,1390,1400
145,1224,1607
146,1177,1757
147,1296,1728
148,1207,1418
149,1223,1709
150,1386,1481
151,969,1383
152,968,1599
153,1088,1709
154,954,1500
155,1053,1741
156,1130,1514
157,991,1742
158,806,1612
159,950,1402
160,985,1728
161,1159,1689
162,1134,1802
163,1023,2013
164,951,1450
165,840,1709
166,701,1577
167,877,1582
168,735,1309
169,747,1560
170,764,1463
171,824,1728
172,799,1628
173,824,1547
174,807,1901
175,1288,1854
176,984,1999
177,442,1437
178,605,1339
179,557,1387
180,632,1837
181,634,1436
182,656,1593
183,680,1280
184,701,1770
185,713,1565
186,701,1817
187,635,1754
188,617,1546
189,622,1629
190,541,1510
191,647,1660
192,760,1784
193,487,1327
194,603,1719
195,798,1801
196,540,1562
197,511,1535
198,670,1645
199,635,1695
200,397,1564
201,793,1789
202,413,1454
203,526,1504
204,504,1406
205,472,1658
206,591,2016
207,732,1625
208,333,1519
209,554,1687
210,491,1527
211,511,1597
212,714,1757
213,394,1486
214,445,1482
215,512,1482
216,502,1671
217,555,1642
218,375,1981
219,543,1530
220,665,1548
221,414,1754
222,601,1804
223,411,1624
224,538,1098
225,798,1801
226,375,1719
227,479,1689
228,475,1784
229,504,1614
230,539,1679
231,556,1930
232,606,1344
233,604,1641
234,536,1498
235,683,1612
236,617,1865
237,615,1629
238,732,1757
239,528,1467
240,600,1706
241,524,1471
242,686,1392
243,669,1678
244,680,1628
245,650,1805
246,607,1704
247,508,1371
248,732,1824
249,717,1448
250,699,1575
251,749,1736
252,680,1640
253,764,1467
254,814,1718
255,814,1515
256,873,1741
257,779,1465
258,747,1581
259,751,1501
260,876,1742
